days,daily_dust_count,daily_dust_std
2021/02/08,18,0
2021/02/09,19,0
2021/02/10,19,0
2021/02/11,17,0
2021/02/12,13,0
2021/02/13,14,0.516397779494322
2021/02/14,14,0
2021/02/15,13,0
2021/02/16,16,0
2021/02/17,16,0
2021/02/18,13,0
2021/02/19,5,0
2021/02/20,23.5,0.52704627669473
2021/02/21,8,0
2021/02/22,10,0
2021/02/23,7,0
2021/02/24,13,0
2021/02/25,9,0
2021/02/26,17,0
2021/02/27,21,0.316227766016838
2021/02/28,23,0.632455532033676
2021/03/01,23,0
2021/03/02,18,0
2021/03/03,13,0
2021/03/04,2,0
2021/03/05,19,0
2021/03/06,13.5,0.52704627669473
2021/03/07,14,0
2021/03/08,12,0
2021/03/09,12,0
2021/03/10,13,0
2021/03/11,3,0
2021/03/12,10,0
2021/03/13,9,0.788810637746616
2021/03/14,16,0
2021/03/15,10,0
2021/03/16,13,0
2021/03/17,17.5,1.03279555898864
2021/03/18,9.5,0.52704627669473
2021/03/19,16,0.316227766016838
2021/03/20,6,0
2021/03/21,15,0
2021/03/22,15,0.316227766016838
2021/03/23,16,0
2021/03/24,5,0
2021/03/25,10,0
2021/03/26,5,0
2021/03/27,8,0
2021/03/28,5,0
2021/03/29,10,0
2021/03/30,10,0
2021/03/31,6,0.516397779494322
2021/04/01,2,0
2021/04/02,12,0
2021/04/03,10,0
2021/04/04,3,0
2021/04/05,11,0
2021/04/06,5,0.421637021355784
2021/04/07,9,0.316227766016838
2021/04/08,8,0
2021/04/09,5,0.316227766016838
2021/04/10,14,0.516397779494322
2021/04/11,2,0
2021/04/12,10,0
2021/04/13,10,0
2021/04/14,8,0
2021/04/15,9,0
2021/04/16,10,0.316227766016838
2021/04/17,3,0
2021/04/18,6,0
2021/04/19,16,0.316227766016838
2021/04/20,9,0.516397779494322
2021/04/21,5,0
2021/04/22,6,0
2021/04/23,6,0
2021/04/24,4,0
2021/04/25,6,0
2021/04/26,5,0
2021/04/27,3,0
2021/04/28,6,0
2021/04/29,4,0
2021/04/30,10,0
2021/05/01,5,0
2021/05/02,6,0
2021/05/03,12,0.516397779494322
2021/05/04,8,0
2021/05/05,4,0
2021/05/06,7,0.316227766016838
2021/05/07,11,0
2021/05/08,5,0
2021/05/09,8,0
2021/05/10,8,0
2021/05/11,3,0
2021/05/12,3,0
2021/05/13,4,0
2021/05/14,7,0
2021/05/15,4,0
2021/05/16,5,0.483045891539648
2021/05/17,8,0
2021/05/18,4,0
2021/05/19,8,0
2021/05/20,6,0
2021/05/21,2,0
2021/05/22,3,0
2021/05/23,5.5,0.994428926011753
2021/05/24,5,0
2021/05/25,4,0
2021/05/26,6,0.316227766016838
2021/05/27,3,0
2021/05/28,7,0.516397779494322
2021/05/29,3,0
2021/05/30,4,0
2021/05/31,6,0
2021/06/01,6,0
2021/06/02,5,0
2021/06/03,6,0.316227766016838
2021/06/04,12,0
2021/06/05,8,0
2021/06/06,7,0
2021/06/07,7,0
2021/06/08,5,0.316227766016838
2021/06/09,10,0
2021/06/10,8,0
2021/06/11,13,0
2021/06/12,6.5,0.948683298050514
2021/06/13,10,0
2021/06/14,6,0
2021/06/15,7,0
2021/06/16,5,0.316227766016838
2021/06/17,2,0
2021/06/18,3,0
2021/06/19,4,0
2021/06/20,4,0
2021/06/21,5,0
2021/06/22,8,0.516397779494322
2021/06/23,9,0
2021/06/24,9,0
2021/06/25,10,0
2021/06/26,3,0
2021/06/27,6,0
2021/06/28,12,0
2021/06/29,9,0
2021/06/30,8,0
2021/07/01,7,0.421637021355784
2021/07/02,7,0
2021/07/03,11,0.316227766016838
2021/07/04,6,0.316227766016838
2021/07/05,9,0
2021/07/06,4,0
2021/07/07,9,0
2021/07/08,6,0
2021/07/09,13,0
2021/07/10,12,0
2021/07/11,12,0
2021/07/12,11,0
2021/07/13,6,0.483045891539648
2021/07/14,8,0
2021/07/15,5,0
2021/07/16,13,0.316227766016838
2021/07/17,12,0
2021/07/18,8.5,0.52704627669473
2021/07/19,14,0.316227766016838
2021/07/20,14,0.316227766016838
2021/07/21,23,0
2021/07/22,15,0
2021/07/23,12,0.421637021355784
2021/07/24,11,0.421637021355784
2021/07/25,13,0
2021/07/26,12.5,0.823272602348565
2021/07/27,13,0
2021/07/28,19.5,0.823272602348565
2021/07/29,17,0
2021/07/30,9,0.483045891539648
2021/07/31,12,0
2021/08/01,21.5,0.52704627669473
2021/08/02,12,0
2021/08/03,14,0
2021/08/04,15,0
2021/08/05,16,0.316227766016838
2021/08/06,16.5,0.52704627669473
2021/08/07,14.5,0.52704627669473
2021/08/08,5,0
2021/08/09,16.5,1.13529242439509
2021/08/10,17,0
2021/08/11,7,0.316227766016838
2021/08/12,18,0
2021/08/13,20,0
2021/08/14,20.5,0.823272602348565
2021/08/15,19,0.483045891539648
2021/08/16,19,0
2021/08/17,19,0
2021/08/18,21,0.567646212197547
2021/08/19,19,0
2021/08/20,22,0
2021/08/21,8,0
2021/08/22,28,0
2021/08/23,23,0.788810637746616
2021/08/24,14.5,0.52704627669473
2021/08/25,24,0.666666666666667
2021/08/26,26,0.316227766016838
2021/08/27,15,0
2021/08/28,18,0.421637021355784
2021/08/29,12,0.516397779494322
2021/08/30,20,0
2021/08/31,16,0.875595035770913
2021/09/01,20,0.421637021355784
2021/09/02,11,0.316227766016838
2021/09/03,13,0
2021/09/04,18,0
2021/09/05,14,0
2021/09/06,11,0.483045891539648
2021/09/07,17,0.316227766016838
2021/09/08,16,0
