year,month,day,duty cycle [day],tds_fit [/day],svm_fit [/day],cnn_fit [/day]
2020,6,28,0.031181328713193273,252.76871755196984,239.91915743728376,227.61319983051513
2020,6,29,0.031216051796392818,244.18123301742318,234.1373911620722,221.88276325940356
2020,6,30,0.031082584945344566,235.7994358537974,228.49410971319637,216.28958206590568
2020,7,1,0.031216051796392818,227.650722844305,223.00775874800678,210.85193814943216
2020,7,2,0.03121569009760949,219.7569364200761,217.69304429958783,205.58440698498353
2020,7,3,0.011163471248655653,212.13478098398346,212.56121307852032,200.49813543643302
2020,7,4,0.03121026461585956,204.79629005508826,207.62036699106102,195.60115348245836
2020,7,5,0.057790784805113134,197.74931873218432,202.87579470411953,190.89870283793152
2020,7,6,0.062293211259987456,190.99804929786328,198.33031205746175,186.39357434399085
2020,7,7,0.06242052923171912,184.54348399346623,193.98459383835075,182.0864367972334
2020,7,8,0.062314913186987175,178.38392225473382,189.8374950939142,177.97615540951676
2020,7,9,0.06242052923171912,172.51540457384397,185.88634997378588,174.06008799751746
2020,7,10,0.06242052923171912,166.93212144034308,182.12724706112635,170.33435786940225
2020,7,11,0.062432103592785636,161.62678500817495,178.5552796079378,166.7941018385887
2020,7,12,0.06235108306532003,156.59095186624165,175.16476284945148,163.43368560884656
2020,7,13,0.06240823147308595,151.81533426544803,171.94944354651744,160.24691145639954
2020,7,14,0.06214274456612276,147.28985537787221,168.90253719040032,157.22705510442222
2020,7,15,0.06242052923171912,143.0044966897467,166.01729853401457,154.36743118917965
2020,7,16,0.06242052923171912,138.94860453910687,163.28655469882904,151.6609305119429
2020,7,17,0.06242052923171912,135.1115627083068,160.70315801675662,149.10046886061224
2020,7,18,0.03711897594031742,131.4828322865373,158.26001286871957,146.67901361001356
2020,7,19,0.039179212210157084,128.05202064279084,155.95012212264396,144.38962974762296
2020,7,20,0.062432103592785636,124.8089674038768,153.76664502058495,142.22553724677795
2020,7,21,0.06211959584398973,121.74380223140346,151.70293607870968,140.18014962131238
2020,7,22,0.0624089548706526,118.84699017113348,149.75257562003094,138.24710418722424
2020,7,23,0.0624089548706526,116.10936361686151,147.90939129498938,136.42028339220144
2020,7,24,0.062374231787453056,113.5221434094178,146.16747228695317,134.6938288950072
2020,7,25,0.06242052923171912,111.07695069571997,144.5211772966592,133.06214947903612
2020,7,26,0.06235108306532003,108.756016217118,142.95854266932767,131.5133877011453
2020,7,27,0.0624089548706526,106.55192278461095,141.47457457317353,130.04259406408264
2020,7,28,0.06213117020505624,104.46070734423432,140.06660477028993,128.64712401818053
2020,7,29,0.05221194277105293,102.4784068420235,138.73196502277017,127.3243330137713
2020,7,30,0.062293211259987456,100.601058224014,137.4679870927074,126.07157650118734
2020,7,31,0.06240750807551929,98.82469843624128,136.27200274219484,124.88620993076098
2020,8,1,0.0624089548706526,97.14536442474076,135.14134373332575,123.76558875282463
2020,8,2,0.06211959584398973,95.55909313554795,134.0733418281933,122.70706841771062
2020,8,3,0.06221219073252185,94.06192151469827,133.06532878889067,121.70800437575127
2020,8,4,0.06174921628986125,92.64988650822721,132.11463637751115,120.76575207727902
2020,8,5,0.06221219073252185,91.3190250621702,131.21859635614794,119.87766697262619
2020,8,6,0.06221219073252185,90.06537412256273,130.3745404868942,119.04110451212514
2020,8,7,0.06221219073252185,88.88497063544023,129.57980053184315,118.25342014610823
2020,8,8,0.06220061637145533,87.77385154683816,128.83170825308807,117.51196932490782
2020,8,9,0.06214274456612276,86.728053802792,128.1275954127221,116.81410749885629
2020,8,10,0.06222376509358837,85.74361434933724,127.4647937728385,116.15719011828598
